ticker
TSLA
AAPL
AMZN
NVDA
MSFT
GOOGL
META
QQQ
COST
GOOG
AVGO
SPY
PEXNY
AGL
UP
BCKIY
MPW
CPRX
KRUS
IGMS
ORGO
ALLO
MTC
WULF
UIS
MTGRY
SHGKY
STTK
VYGR
