Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-09 00:00:00-05:00,268.97158198107275,273.400999789782,268.0678529688514,268.68359375,45568700,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,267.6408378865261,271.0671772359229,267.1244168677347,270.9579162597656,35247800,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,272.04044144154506,275.75476877971477,271.2459126605369,275.6455078125,44077000,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,276.2115816514346,278.178006129439,271.8616316386249,277.13519287109375,60600000,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,274.6026940340454,279.2903072385628,274.2650307054867,279.0420227050781,44802900,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,278.8434184391967,280.90916299324067,277.66158148476154,279.608154296875,36269700,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,281.1673292510176,282.736504512606,275.7646855571757,275.9732360839844,47754500,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,274.324628012229,275.4766719326355,272.01062939921934,273.261962890625,44150400,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,274.8906973676239,281.07792820245163,273.8180912697491,280.7402648925781,60613600,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,281.59441134304456,288.21862610868686,280.78997183247236,286.9772033691406,52799900,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,285.33851136704413,287.56313106139686,284.81214937478495,286.3912353515625,44875100,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,281.82279692568983,286.381297316514,279.25057279970423,285.7556457519531,50872000,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,289.2217003571085,291.5059060349283,286.54021516299673,291.3271484375,51596300,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,289.99636376671737,296.21341879813997,289.87719202817584,294.2271423339844,56441900,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,290.9199801403097,292.3600427252961,287.90086168383715,288.2782287597656,49405800,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,288.31793513415545,292.69767803135557,288.20870448511073,292.5983581542969,46705100,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,292.3898241266554,301.3479198724737,290.29428674270656,298.85516357421875,67562200,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,305.4595069245048,311.52756645033776,304.6252745186123,309.5810241699219,83070600,0.0,0.0,0.0
