Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-09 00:00:00-05:00,384.52571577842684,387.80587875468774,381.8661558616511,382.05328369140625,73978100,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,381.4524414532143,384.8015337004448,380.48710230954526,384.7325744628906,65358100,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,386.35790926618137,389.6774519611415,385.52062866087545,389.5986328125,68881100,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,390.7314530873732,392.5241829589836,386.54507998275767,391.01708984375,90157700,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,387.7270509860708,393.125019903955,387.4512441105991,392.53399658203125,63903900,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,392.51430300881435,394.2381034789187,391.115548829224,391.8149108886719,62677300,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,393.0364040987106,394.12977178499153,385.4221196262621,385.62896728515625,99632300,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,383.53084724011654,385.225098191032,381.46231054924175,382.8216552734375,86958900,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,384.2597812113423,390.1108553021331,382.56553029514197,389.9532470703125,91806400,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,390.7806744279781,396.6218887102537,389.7956455077685,394.63214111328125,84178800,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,392.908342251454,395.14434708842964,391.6869160043815,394.2085876464844,59524900,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,390.0222323082122,394.70111991106273,387.6679986431163,394.3563537597656,84800300,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,397.09471814503746,398.8579283502158,394.0411224438659,398.6904602050781,72287400,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,397.6167588442363,402.0493887767693,397.4000512895513,399.60650634765625,68346200,0.0,0.0,0.0
